Division and State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization (UD),Amendment of certification (AC),Unit clarification (UC)
New England — Total,1919,1616,1351,250,19,7,2,4,1,271,224,5,43,7,2,20
California,3688,3106,2385,645,46,9,8,0,14,548,443,23,74,18,1,21
Pacific — Total,5226,4321,3328,890,63,9,11,5,18,828,672,32,124,35,5,37
Florida,1221,1046,908,136,2,0,0,0,0,173,158,2,13,0,1,0
