row_label,Division and State,Total elections,Number of elections in which representation chosen — Total,AFL-CIO,Teamsters,Other national,Other local,Number of elections in which no representation chosen,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO,Teamsters,Other national,Other local,Votes for no union,Total eligible employees
New England TOTAL,23,8,,,,,15,1414,696,614,68,,0,14,610,
Middle Atlantic — New York,34,12,11,,,,22,1107,,440,96,,,82,566,
Middle Atlantic — Pennsylvania,44,13,11,,,,31,1358,,640,131,1,,,718,
Middle Atlantic TOTAL,92,34,22,9,,,58,4094,3035,2331,458,0,,353,1504,
East North Central TOTAL,160,46,31,14,,1,114,6653,4063,,3277,789,0,,2590,
