Division and State,All cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union-shop authorization cases
New England,1612,266,33,11,10,726,35,28,509
Maine,83,14,0,0,0,42,1,1,25
New Hampshire,108,12,0,0,1,53,3,1,38
Vermont,37,5,0,0,0,18,0,2,12
Massachusetts,876,158,33,4,7,387,25,4,258
Rhode Island,180,30,0,5,2,78,2,5,58
Connecticut,330,45,5,2,0,149,9,0,108
Middle Atlantic,5407,923,271,39,33,2197,121,84,1739
New York,2703,531,189,33,8,1065,70,32,759
New Jersey,1180,155,32,9,7,394,12,12,559
Pennsylvania,1524,237,50,7,18,538,39,32,521
East North Central,4971,732,155,19,20,2058,62,64,1832
West North Central,1602,323,45,10,4,828,62,33,366
South Atlantic,1454,417,43,12,5,729,30,58,160
East South Central,836,187,62,4,3,410,18,23,129
West South Central,998,299,32,4,12,498,20,30,101
Mountain,1083,205,34,9,0,686,22,15,133
Pacific,3488,621,203,57,5,1307,64,45,259
Outlying areas,515,157,26,0,0,233,7,6,86
