Stage and method of disposition,All C cases 1 / Number of cases,All C cases 1 / Percent of cases closed,CA cases 1 / Number of cases,CA cases 1 / Percent of cases closed,CB cases 1 / Number of cases,CB cases 1 / Percent of cases closed,CC cases 1 / Number of cases,CC cases 1 / Percent of cases closed,CD cases 1 / Number of cases,CD cases 1 / Percent of cases closed
After Board order adopting intermediate report followed by circuit court decree,8,.1,5,.1,0,.0,3,.8,0,.0
Compliance,7,,4,.1,0,.0,3,.8,0,.0
Otherwise,1,,1,.1,0,.0,0,.0,0,.0
"After circuit court decree, before Supreme Court action",121,2.2,77,2.0,39,3.1,5,1.3,0,.0
Compliance,96,1.7,59,1.5,33,2.6,4,1.0,0,.0
Dismissed,23,.5,17,.5,5,.4,1,.3,0,.0
Otherwise,2,,1,,1,.1,0,.0,0,.0
After Supreme Court denied writ of certiorari,34,.6,28,.8,6,.5,0,.0,0,.0
Compliance,31,.6,26,.7,5,.4,0,.0,0,.0
Dismissed,3,,2,,1,.1,0,.0,0,.0
After Supreme Court opinion—dismissed,2,,2,,0,.0,0,.0,0,.0
