row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"Pending July 1, 1976",2973,1869,636,183,252,33,
Received fiscal 1976,11846,6572,3700,626,866,82,
On docket fiscal 1976_,14819,8441,4336,809,1118,115,
Closed fiscal 1976,11024,6210,3388,624,713,89,
"Pending June 30, 1976",3795,2231,948,185,405,26,
,RM cases,RM cases,RM cases,RM cases,RM cases,RM cases,RM cases
"Pending July 1, 1975 Received fiscal 1976",239,,,,,,239 886
,886,,,,,,
On docket fiscal 1976,1125,,,,,,1125
Closed fiscal 1976,834,,,,,,834
"Pending June 30, 1976",291,,,,,,291
,RD cases,RD cases,RD cases,RD cases,RD cases,RD cases,RD cases
"Pending July 1, 1975",259,0,0,o,1,258,
Received fiscal 1976,1457,10,6,1,9,1431,
On docket fiscal 1976,1716,10,6,1,10,1689,
Closed fiscal 1976,1326,9,4,1,8,1304,
"Pending Juae 30, 1976",390,1,2,0,2,385,
