Fiscal year,Total number of polls,Union-shop authorized — Number,Union-shop authorized — Percent,Employees eligible to vote,Percent casting valid votes,Total valid votes cast,Valid votes cast for union-shop,Percent of eligible
"Aug. 22, 1947 – Oct. 22, 1951 (cumulative)",46119,44795,97.1,6542564,84.8,5547478,5071988,77.5
"1948 (Aug. 22, 1947 – June 30, 1948)",17958,17601,98.0,1852333,88.0,1629330,1534980,82.9
1949,15074,14581,96.7,1733922,84.8,1471092,1381829,79.7
1950,5591,5377,96.2,1072917,84.0,900866,805189,75.0
1951,5964,5759,96.6,1623375,82.3,1335683,1164143,71.7
"1952 (July 1, 1951 – Oct. 22, 1951)",1532,1477,96.4,260017,81,210507,185847,71.5
