row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Maine,148,79,26,1,1,0,0 0,35,20,5,10,3,0,3
New Hampshire,77,51,11,0,0,0,0 0,12,9,0,3,1,0,2
Vermont,59,38,5,0,0,0,1 0,13,9,0,4,1,0,1
Massachusetts,1196,622,158,39,18,3,0 3,331,277,9,45,0,4,18
Rhode Island,124,72,21,4,3,0,0 0,24,23,0,1,0,0,0
Connecticut,768,488,149,2,3,0,7 0,1 1 I,89,6,16,3,1,4
New England,2372,1350,370,46,25,3,8 3,526,427,20,79,8,5,28
New York,3921,1922,1125,75,15,8,1 26,708,581,34,93,6,1,34
New Jersey,1469,751,257,59,26,1,2 6,349,289,14,46,7,1,10
Pennsylvania,2632,"1,504 519",58,,19,1,1 22,470,338,22,110,12,3,23
Middle Atlantic,8022,4177,1901,192,60,10,4 54,1527,1208,70,249,25,5,67
Ohio,2508,1388,483,88,19,2,0 19,475,339,23,113,20,2,12
Indiana,1581,966 314,17,,19,0,1 4,", 239",173,11,55,15,0,6
Illmois,2470,"1,267 498",116,,52,3,0 40,457,313,32,112,23,1,13
Michigan,2263,1304,352,35,9,0,2 13,494,385,19,90,32,2,20
Wisconsin,811,458,149,31,2,0,1 1,158,104,13,41,7,0,4
East North Central,9633,5383,"1,796 287",101,,5,4 77,1823,1314,98,411,97,5,55
Iowa,375,218 287,38,18,1,2,0 0,94,65,8,21,0,0,4
Minnesota.,582,,53,28,3,0,1 6,193,106,14,73,4,0,7
Missoun,1156,615,221,51,16,0,0 8,226,164,10,52,11,0,8
North Dakota,33,18,2,1,0,0,0 0,12,6,1,5,0,0,0 0
South Dakota,18,9,1,0,0,0,0 0,,5,1,2,0,0,
Nebraska,104,,11,1,0,,0 1,8 19,19,0,0,1,0,1
Kansas,254,70 124,71,3,1,0 0,0 1,53,35,3,15,1,0,0
West North Central,2522,1341,397,,21,2,1 16,605,400,37,168,17,0,20
,,,,102,,,,,,,,,,
Delaware,54,35,11,0,0,0,0 0,6,4,0,2,2,0,0
Maryland,800,455,204,4,2,2,0 0,130,108,3,19,0,1,2
