Industrial group,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Representation cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / RM (continued),Amendment of certification cases / UD,Unit clarification cases / AC
Food and kindred products,1908,1292,844,390,30,7,4,0,17,591,531,25,45,5,3,17
Tobacco manufactures,33,19,12,7,0,0,0,0,0,14,9,5,0,0,0,0
Textile mill products,380,259,237,51,2,0,0,0,2,84,82,2,0,0,0,2
Manufacturing (total),18065,12909,8913,3519,165,300,108,21,79,4844,4137,228,479,72,31,139
