Standard Federal Region,All cases,All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauth. cases / UD,Amend. cert. cases / AC,Unit clarif. cases / UC
Connecticut,200,135,120,10,0,0,1,4,61,55,1,5,0,1,3
Maine,115,77,,,,,,,,,,,,,
Massachusetts,1200,789,,,,,,,,,,,,,
New Hampshire,92,40,,,,,,,,,,,,,
Rhode Island,199,100,,,,,,,,,,,,,
Vermont,54,45,,,,,,,,,,,,,
Region I,2348,2200,1629,317,0,1,2,20,309,261,2,46,0,2,27
Delaware,101,71,61,,,,,,29,28,,,,,
New Jersey,1682,1361,1037,264,,,,,,208,,29,,7,1
New York,4765,4138,3289,648,,,,,598,,,,,,
Puerto Rico,455,365,,,,,,,,,,,,,
Virgin Islands,14,,,,,,,,,,,,,,
Region II,7021,5999,4267,1420,9,63,9,39,1023,875,36,114,6,15,46
District of Columbia,148,128,100,24,,,,,15,,,,,,
Maryland,354,276,,,,,,,78,,,,,,
Pennsylvania,3457,2855,1648,330,,,,,349,288,10,51,,6,29
Virginia,434,236,,,,,,,100,,,,,,
West Virginia,521,407,392,56,,,,,50,41,,,,,
Region III,4114,3532,3700,611,91,19,7,,551,464,13,74,,11,19
Alabama,488,424,354,69,,,,,33,28,,,,,
Florida,1160,692,613,78,,,,,157,144,8,17,,,
Georgia,768,626,525,60,,,,,49,79,,,,,
Kentucky,621,528,457,65,,,,,55,70,,,,,
Mississippi,199,166,,,,,,,,,,,,,
North Carolina,361,324,274,,,,,,,,,,,,
