row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
Total number of cases closed,31593,100.0,0.0,22484,100.0,7787,100.0,778,100.0,241,100.0,49,100.0,16,100 0,238,100.0
Ageement of the parties,9809,31.0,100 0,7881,35.0,1471,188,351,45.1,1,0.4,15,30.6,5,31.2,85,35.7
Informal settlement,9691,30.7,98.8,7796,34.6,1446,18.5,345,443,1,0.4,15,30.6,5,31.2,83,34.8
"Before Issuance of complaint After Issuance of complaint, before opening of hearing After hearing opened, before issuance of admin-","6,830 2,813",21.6 8.9,69.6 28.7,"5,385 2,365",23.9 10.5,"1,105 339",14.1 4.3,268 77,34.4 9.8,(2) 1,- 0.4,4 11,8.1 22.4,5 0,31.2 -,63 20 o,26.4 8.4
istrative law judge's decision,48,0.2,0.5,46,0.2,2,ao,o,,• • o,,o,,o,,,
Formal settlement,118,0.4,1.2,85,03,25,0.3,6,0.7,o,,o,,o,,2,0.8
"After issuance of complaint, Wore opening of hearing",70,0.2,0.7,38,0.1,24,0.3,6,0.7,o,,o,,o,,2,0.8
Stipulated decision Consent dee=,13 57,0.0 0.2,01 0.6,6 32,0.0 0.1,5 19,00 0.2,2 4,0.2 0.5,0 o,,o o,,o o,,o 2,- 0.8
After hearing opened,48,0.2,0.5,47,0.2,1,0.0,0,,0,,,,o,,o,
Stipulated decision Consent decree,8 40,0.0 0.1,0.1 0.4,8 36,0.0 0.1,0 1,- 0.0,o 0,,o 0,,o o,,o o,,o o,
Compliance with,710,22,100.0,609,2.7,73,0.9,19,2.4,o,,3,61,o,,6,2.5
