row_label,Case No.,Union and company,Date petition for injunction filed,Type of item,Temporary restraining order / Date issued,Temporary restraining order / Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
15-CC-115,15-CC-115,Lafayette Building & Construction Trades Council et al (Southern Construction Co.),"May 11, 1960",,,,,,,
23-CC-74,23-CC-74,"National Maritime Union, Local 333 (D. M. Paton & Co.)","May 11, 1960",,,,,,"May 20, 1960",Settled
3-CB-117 (other case),3-CB-117,"*Teamsters, Local 182 et al (Sirine, Inc. & Susquehnna Pure Milk)","June 1, 1960",,"June 1, 1960","June 20, 1960","June 20, 1960",,,
Remaining ~22 cases on this page,,,,,,,,,,
