Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,All C cases — Percent of total method,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Withdrawal,7602,31.4,100.0,5596,31.3,1796,32.1,123,37.4,20,18.3,21,52.5,14,46.7,32,45.1
Withdrawal — Before issuance of complaint,7522,31.3,98.9,5522,30.9,1790,32.0,123,37.4,20,18.3,21,52.5,14,46.7,32,45.1
Dismissal,6894,28.7,100.0,4202,23.5,2604,46.6,50,15.2,15,13.8,5,12.5,4,13.3,14,19.7
Dismissal — Before issuance of complaint,6794,28.2,98.5,4112,23.0,2594,46.4,50,15.2,15,13.8,5,12.5,4,13.3,14,19.7
By Board decision,60,0.2,0.9,59,0.3,9,0.2,0,0,0,0,0,0,0,0,0,0
By Board decision — Adopting administrative law judge's decision (no exceptions filed),37,0.2,0.5,37,0.2,0,0,0,0,0,0,0,0,0,0,0,0
By Board decision — Contested,23,0.1,0.3,19,0.1,4,0.1,0,0,0,0,0,0,0,0,0,0
10(k) actions (see Table 7A for details of disposition),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otherwise compromised with order of administrative law judge or Board not achieved—then went out of business,115,0.5,,0,0,111,2.0,0,0,0,0,0,0,0,0,0,0
