row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"Pending October I, 1989.","*2,369",1553,528,71,216,I,
Received fiscal 1990,5678,3623,1570,170,315,0,
On docket fiscal 1990,8047,5176,2098,241,531,1,
Closed fiscal 1990.,5743,3660,1587,162,334,0,
"Pending September 30, 1990",2304,1516,511,79,197,1,
,RMcases,RMcases,RMcases,RMcases,RMcases,RMcases,RMcases
"Pending October I, 1989",*174,,,,,,174
Received fiscal 1990,327,,,,,,327
On docket fiscal 1990,501,,,,,,501
Closed fiscal 1990.,331,,,,,,331
"Pending September 30, 1990.... ... . .",170,,,,,,170
,RD cases,RD cases,RD cases,RD cases,RD cases,RD cases,RD cases
"Pending October I, 1989","""471",3,1,I,3,463,
Received fiscal 1990,1168,2,0,0,0,1166,
On docket fiscal 1990,1639,5,1,1,3,1629,
Closed fiscal 1990.,1197,3,1,0,1,1192,
"Pending September 30, 1990",442,2,0,1,2,",, 437",
