row_label,Petitioning union or party,Number of elections and pay-roll checks,Number won by petitioner,Percent won by petitioner,Valid votes cast — For A. F. of L. affiliates,Valid votes cast — For C. I. O. affiliates,Valid votes cast — For national unaffiliated unions,Valid votes cast — For local unaffiliated unions,Valid votes cast — For no union,Valid votes cast — Total,Percent of total votes for petitioner
A. F. of L. affiliates — Petitioners,1128,934,82.8,135653,26487,1642,9078,39996,212834,63.7,
C. I. O. affiliates — Petitioners,1260,914,72.5,43599,306382,7065,23083,94835,475169,64.5,
National unaffiliated unions — Petitioners,48,39,81.3,1118,10421,10422,9265,4258,14679,71.0,
Local unaffiliated unions — Petitioners,70,49,70.0,1720,2584,12172,398,4267,26141,65.7,
Employer-Petitioners,129,96,74.4,3502,8658,,788,1968,35520,,
