row_label,Case No. (left col not shown),Union and company (left col not shown),Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and/or order
Row 1,,,,10 (l),,,,,"Mar. 26, 1959","Settled as to CC; withdrawn as to CD; Dec. 17, 1958."
Row 2,,,,10 (l),,"Sept. 23, 1958",,,"Feb. 17, 1959","Feb. 3, 1959."
Row 3 (Sept 12 1958 / Sept 25 1958),,,,10 (l),"Sept. 12, 1958","Sept. 25, 1958",,,"Sept. 25, 1958",Withdrawn
Row 4,,,,10 (l),,,,,"Nov. 14, 1958","Oct. 31, 1958."
Additional rows ~16 more (dates Oct 1958 - June 1959),,,,,,,,,,
