Affiliation of participating union,Number of elections — Total,Number of elections — In which representation rights were won by AFL-CIO affiliates,Number of elections — In which representation rights were won by Unaffiliated unions,Number of elections — In which no representative was chosen,Number of employees involved (number eligible to vote) — Total,Number of employees involved — In units in which representation rights were won by AFL-CIO affiliates,Number of employees involved — In units in which representation rights were won by Unaffiliated unions,Number of employees involved — In units in which no representative was chosen,Total valid votes cast
Total,7355,2708,1597,3050,536047,190858,115118,230071,482558
AFL-CIO,4462,2557,,1905,274128,110435,,163609,230781
Unaffiliated,2172,,1173,999,143524,,108250,35272,129358
AFL-CIO + AFL-CIO,249,188,,61,40798,22415,,18383,35242
AFL-CIO + Unaffiliated,643,298,290,67,113406,52457,39376,10649,100684
Unaffiliated + Unaffiliated,135,,126,9,23047,,17008,1099,17708
