row_label,col_1
2-R-5682,C-0 Two Fire Equipment Co.
21-R-2971 20-R-1357,California Consumers Corp. California Door Co.
21-11-3233,California Electric Co.
19-R-1558,California Packing Corp.
20-11-1421,California Packing Corp.
2-R-6212,Cameron Machine Co.
1-11-3070,"Campbell, A. S., Co.."
8-11-2147,Canfield Oil Co.
10-R-1789,Capital Motor Lines.
1-11-2513,"Capital Motor Transportation Co., Inc."
,Carbide &Carbon Chemicals Corp.
9-11-1584,Carbide &Carbon Chemicals Corp.
13-R-3360,
8-11-1991,Cardinal Rubber Co. The.
9-11-1844,"Carey, Philip, Mfg. Co., Cargill, Inc."
18-R-1359,
13-11-3063,Carnegie Illinois Steel Corp.
2-11-6142,"Carnrick, G W., Co. Carolina Narrow Fabric Co."
5-R-2058,Carolina Scenic Coach Lines.
10-11-1856,&Co.
4-11-1825,"Carpenter, L. E,"
3-11-1204,Carrier Corp.
13-11-3451 13-11-3476,"Carson Pine Scott &Co. Case, J. I., Co."
,Caso &Tierney Co.
17-11-1377,
15-11-1358,"Celotex Corp, The."
13-11-3081,Central Barge Co.
20-11-1655,Central California Packing Co. Central New York Power Corp.
3-11-1019,Central Ohio Light &Power Co.
8-R-2177 2-11-6161,Central Union Stock Yard Co.
10-11-1664,Cheraw Brick Works.
10-11-1622,Cherokee Brick Co. Railroad
9-R-1752 11-11-950 1041-1766,Cherry River Boom &Lumber Co.'s Chesty Foods Co. Chicago Bridge &Iron Co.
13-11-3313,"Chicago Daily News, Inc , The. Chicago"
15-11-1432,Mill &Lumber Co.
15-11-1564,Chicago Mill &Lumber Co.
9-R-1884,Chickasaw Wood 'Products Co.
7-11-2083,Chris Craft Corp. Chris Craft Corp.
7-11-2084 7-11-2038,Chrysler Corp.
7-11-2150,Chrysler Corp.
21-R-3049,Chrysler Motors of Calif.
,Cities Service Refining Corp.
15-R-1571,Cities Service Refining Corp.
15-11-1654.,Inc.
6-11-1269,"City Lines of West Virginia,"
3-R-1099,"Clark Bros. Co., Inc. Clark Equipment Co."
7-R-2259,Clarksburgh Paper Co.
. 8-11-1868,
,a Cliffs Iron Co.
8-R-1869,Cleveland
8-11-2195,Cleveland Formgrader Co.
8-R-2142,"Cleveland Frog &Crossing Co., The Cleveland Graphite Bronze Co."
8-11-2031,
8-11-2041,"Cleveland Welding Co. 'Coastal Refineries, Inc."
16-R-1445 19-R-1545,Cobbs &Mitchell Co.
20-11-1486,• Colgate-Palmolive-Peet Co.
15-11-1638,"Collins, Clyde, Inc."
17-R-1180,"Colorado Fuel &Iron Corp., The Colson .Corp., The._"
8-11-1960,
,"Colson Corp., The."
8-11-2220,"Broadcasting System,"
,Inc.
2-R-5878,Columbia
13-R-3265,Envelope Co.
,Columbia
2-11-5958,"Columbia Machine Works, Inc."
