row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
0-.,". ,. ,","528° 0hh,a",. 2,",,p0,.,i - g.'2'42 4",", 0 .",.0.0 TRro',", F71-=e g28 RR ,a4,B.1. cr>M' a •-■"
", N '28R",00 .11 N,NM.M0,222,. - 0,ME,"NO100.n0 525,°.',=,",m11.7 -'5
"0 C ..., - 0","0 ,t1",28q°,"2 R44° ,",",",. •-■,"22`c:I' Els;-,",", g - g -"
".0 0 , M",h,'4222°,°,2°R° .,g,".000 .-00,0 R 4",0 2
..,"g m , .-..","gRp° -, -",A '412S,,,,0.
2EF.,2,":iWg""g'",i §EM,"- 0 , 4","pc';',2 ,.","288R2V- ,., MN c,;'",°g
Sp 2,= . 0,"V-:"". .124R ,-m- .--.-,c---","2 . ,,.",22718 0,S87:2,'42 g 6-.4 2 .- .- -,T?85
.-. g52,", 2","45SF.8 .,... 0'040","El s ,, CC CO",p g 07 CO,"<0 gs!4,F,4,","SE842 ,w..5- ,s-",",t-L0"
"0 , 0 r c-mRG",M 8 C,"o-,.. 5R4 g 2 ' C CI",". 0,- CO CO' .. . -",",e,-.","- tz ,-, - to .- •-1",R'42,q
'COO 721,0 M,",c10-.",,CO ...m. .,g '4R42,"0:Zm00C -,",001
0-0 0,,COMMO,"N ,C,ICCO",,,0000 0W0070,.N
"0,0 0",",",C) CO,0,MNONO,h,.000 000000,.0
"0.0 ,",CO,.711'0,,Cl'-'''''',g,"00210 .20.0,4EN",00
0.M CD,h,g52fl 0,2 . ';' m 'E-,DR CO .,,"W4g"" m0 -2'''22",°'''
"0,0, t-","t ,: 71",R2ER°,R I2RIR,4,,"4RA"".k.i2:4R7,",""""
",m, CO . - .",,;;0---;S2',2 yign,,T-284,0022S2,
