row_label,col_1,col_2
20-UA-1252,Shell Chemical Corp. Shell Co.,18-UA-1027 Twin City Ready Mix Co.
14-UA-1186,Shell Oil Co.,7-UA-433 Tyler Fixture Corp.
14-UA-1164 20-UA-1458,"Shell Oil Co., Inc.",
14-UA-1461,"Shell Oil Co., Inc.",2-UA-3848 U. S. Rubber Co.
14-UA-1462,"Shell Oil Co., Inc.",18-UA-766 U. S. Rubber Co.
7-UA-489,"Simplicity Pattern Co., Inc.",14-UA-1601 U. S. Smelting Furnace Co.
7-UA-504,Simplicity Pattern Co. Inc.,2-UA-3498 Universal Atlas Cement Co.
7-UA-977,"Simplicity Pattern Co., Inc.",4-UA-618 Universal Atlas Cement Co.
8-UA-950,Sinclair Refining Co.,"7-UA-448 Universal Products Co.,"
19-UA-1253,Skyway Luggage Co.,Inc.
8-UA-948,"Socony-Vacuum Oil Co., Inc.",19-UA-1060 Utility Trailer Co.
13-UA-1544,Socony Vacuum Oil Co.,7-UA-485 Victory Pattern Shop.
16-UA-342,Southwestern Supply& Machine Works.,21-UA-700 Viking Automatic Sprinkler.
8-UA-906,"Spitzer Building Co., The.",
1-UA-1866,"Stackpole W. A., Trans.",19-UA-1215 Washington Auto
10-UA-82,Standard-Coosa Thatcher Co.,Freight. 36-UA-732 Weiler Motors.
19-UA-712 7-UA-904,"Standard Brands, Inc. Stearns Manufacturing Co.",36-UA-746 Western Newspaper Union.
36-UA-728,Stout Motor Co.,1-UA-2882 Westinghouse Electric Corp.
14-UA-1485,Strecker Transfer Co.,4-UA-738 Westinghouse Electric
18-UA-759,Superior Lidgerwbod Mundy Corp.,Corp. 19-UA-315 West Waterway Lumber
18-UA-927,Superior Lidgerwood Mundy Corp.,Co. 36-UA-114 Weyerhaeuser Timber Co.
19-UA-713,"Sweet Brothers, Inc.",4-UA-677 Whitehall Cement Man- ufacturing Co.
13-UA-1522,"Taylor Engineering Co., The.","21-UA-927 White Distributing Co. 3-UA-639 WIBX, Inc."
13-UA-1474,"Texas Co., The.",4-UA-363 Williamsport Textile
14-UA-1190,Texas Co. Terminal.,Corp.
19-UA-1005,"The Fruits Labor Rela- tions Committee, Inc.",36-UA-779 Williamette Valley Lum- ber Co.
1-UA-2001,Thurston Manufacturing Co.,36-UA-520 Wilson's Grocery& Market.
19-UA-744,Time Oil Co.,1-UA-1946 Winsted Hosiery Co.
7-UA-862,"Timken Detroit Axle Co., The.","6-UA-406 Woods, T. B., Sons Co. 18-UA-998 Wunder Klein Donohue Co."
8-UA-907,"Toledo Medical Build- ing Co., The.",36-UA-790 York Corp.
21-UA-1464,Twenty Century-Fox Film,36-UA-1025
,Corp.,Zellerbach Paper Co.
