row_label,col_1,col_2,col_3
2-R-7896,Cities Service Oil Co. (Pennsylvania),13-R-4271,"International Harvester Co., McCormick"
7-R-2594 15M-R-81,Clark Equipment Co.,21-R-3876,Works. International Smelting & Refining Co.
15M-R-106 27R-7681,Coca-Cola Bottling Co. of Arkansas.,,
,"Coca-Cola Bottling Co. Cohn Sigmund, Co.",2-R-7894,Jersey Publishing Co.
21-R-3988,Instrument n Co.,10-R-2765,"Johnson City Foundry & Machine Works,"
9-R-2696 14-R-1715,"Columbus Bolt Works Co., The. Continental Can Co.",7-R-2714,Inc. Kalamazoo Vegetable
,,,"Parchment Co. Kallaher & Mee, Inc."
10-R-2686,Davis Lumber Co.,1-R-3779,Kennecott Copper Corp.
10-R-2669,"Delta Tank Manufactur- ing Co., Inc.",21-R-3942 16-R-2202,Kimbell-Texarkana Co.
7-R-2726,"Detroit Edison Co., The.",8-R-2660,Kinsman Transit Co.
7-R-2715 • 2-R-7675,"Detroit Packing Co. Dodge & Olcott, Inc.",,
18-R-1852,Donny Box Co. Duplan Corp.,14-RE-18,"Laclede Gas Light Co., The."
5W-R-90,,4-R-2619,"Lehigh Valley Throwing Mills, Inc."
2-R-7551,"Eisen Bros., Inc. Essex County News",1-R-3768,"Lehrolite, Inc."
2-R-7650,"Co., Inc.",4-R-2681,"Link Belt Co., The."
5-R-2946,Farmville Manufacturing,4-R-2716 13-R-4447,Macungie Silk Co. Marshall Field & Co.
,Co.,10-R-2711,Mascot Stove Co.
16-R-2277,Firestone Tire & Rubber,21-R-4038,"Mimar Products, Inc."
16-R-2303,• Co. Fort Worth Structural,13-R-4414,Monumental Life Insur- ance Co.
,Steel Co.,5W-R-2678,Morowebb Cotton Mills Co.
5-R-2913,"Freezer, J., & Sons.",10-R-2657,"Mylan-Sparta Co., Inc."
1-R-3743 13-R-4457,"Gair, Robert, Co., Inc. Gam Sales Co.",2-R-7880,N. A. P. A. New York
1-R-3753,General Electric Co. General Electric Co.,9-R-2678,"Warehouse, Inc. National Carbide Corp."
21-R-3968 8-R-2540,General Motors Corp.,2-R-7760,National Chair Co. National Lead Co.
10-R-2737,General Shale,2-R-7793,Norcal Packing Co.
,Products Corp.,20-R-2221,"Cone Co.,"
7-R-2700 5-R-3017,"Gerber Products Co Goldenberg Co., The.",13-R-4438,Northwest Inc. & Regal Candy Co.
,"Grant, W. T., & Co., Department Store.",18-R-1886,Norway Needlecraft Corp.
8-R-2669 1-R-3759,Great Atlantic & Pacific,,
18-R-1887,"Tea_ Co., The. Grede Foundry, Inc. Gulf Oil Corp.",8-R-2698 16-R-2293,Ohio Fuel Gas Co. ' The. Scrap Paper
16-R-2238 13-R-4439,,2-R-7928,Oklahoma Co.
,Gunite Foundries Corp.,,"Old Town Ribbon & Co., Inc."
16-R-2155 7-R-2656,Hardwicke-Etter Co.,17D-R-55,"Omar Mills, Inc."
4-R-2719,"Hayes Manufacturing Corp. Hill, C. V., & Co., Inc. Hinchey Consolidated",4-R-2737,Penn Boiler & Burner Manufacturing Corp.
1-R-3807,"Slate Co., Inc.",14-R-1745,"Penney, J. C., Co., Inc."
16E-R-17,Hortex Manufacturing,15-R-2214,Perry County Plywood Corp.
15M-R-98,"Co. Hungerford, S. R., Co., Inc.",16-R-2331,Pittsburgh Plate Glass Co.
,,,Premier Container Corp.
,,2-R-7852,
14-R-1714,Illinois Power Co.,9-R-2708,Queen City Industries.
91-R-1346',Indianapolis Power & Light Co.,2-R-7766,Lamp Co.
2-R-7402,,,Radiant Inc
,Interchemical Corp.,,"Rich & Morgan,"
,,10-R-2700,
