Standard Federal Region and State,All cases,All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization (UD),Amendment of certification (AC),Unit clarification (UC)
Region V — Illinois,2273,1891,1306,370,70,14,6,2,26,335,449,35,66,6,0,16
Region V — Total,8878,7176,5345,1346,164,38,7,37,39,1587,1263,80,244,39,1,82
Region VI — Total,2124,1867,1506,337,9,5,5,0,5,243,199,6,38,13,0,11
Region VII — Total,1575,1263,989,220,31,14,2,7,0,300,234,10,56,6,1,5
Region VIII — Total,1005,887,683,192,9,1,1,1,0,112,90,3,19,0,0,6
