Participating unions,Total valid votes cast,Valid votes cast in election won - Total,Valid votes cast in election won - AFL-CIO unions,Valid votes cast in election won - Teamsters,Valid votes cast in election won - Other national unions,Valid votes cast in election won - Other local unions,Total votes for no union,Valid votes cast in election lost - Total,Valid votes cast in election lost - AFL-CIO unions,Valid votes cast in election lost - Teamsters,Valid votes cast in election lost - Other national unions,Valid votes cast in election lost - Other local unions,Total votes for no union
All representation elections (top-level totals),267759,68694,68604,,,,32487,58083,58083,,,,105624
"AFL-CIO, Teamsters, Other national unions, Other local unions",,,,,,,,,,,,,
1-union elections (subtotal),354778,100582,68604,16534,12645,3199,46085,82710,58083,11938,11707,982,183921
2-union,,,,,,,,,,,,,
2-union elections (subtotal),131832,102587,49014,16100,12399,32914,3264,9316,5785,1326,1907,133,15545
3+-union,,,,,,,,,,,,,
