Case No.,Union and company,Date petition for injunction filed,Type of petition,Temp. restraining order — Date issued,Temp. restraining order — Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed,Date Board decision and order
3-CC-217,Independent Brotherhood of Production Maintenance & Operating Employees Local 16 (A&G Sons Farms Inc.),"Mar 15, 1954",10 (l),,,"Apr 19, 1954",,"Oct 2, 1954","Sept 4, 1954"
"2-CC-267, 268",International Longshoremen's Assn. and Local 815 (Marina Towing & Tran Empk Assn),"Mar 18, 1954",10 (l),"Mar 30, 1954","Mar 23, 1954",,,"June 13, 1954",Withdrawn
1-CC-100,International Longshoremen's Assn.,"Apr 2, 1954",10 (l),,,,,"July 19, 1954",Withdrawn
14-CC-20,"AFL-Meat Cutters, Local 88 (Swift & Co.)","Apr 30, 1954",10 (l),,,"July 30, 1954",,,"Jan. 25, 1955"
23-CC-374,International Longshoremen's Assn. and Local 327-1 et al. (New York Dock Co.),"Apr 21, 1954",10 (l),,,,,"Mar 2, 1955",
10-CC-50,"International Longshoremen's Assn. and Locals 333, 824 (Refined Syrups & Sugars Inc.)","Apr 23, 1954",10 (l),,,,,,Withdrawn
10-CC-54,"AFL-Teamsters, Local 728 (National Trucking Co.)",,10 (l),,,"July 8, 1954",,,"Dec. 14, 1954"
"11-CC-6, 8","AFL-Teamsters, Locals 391, 71 (Thurston Motor Lines, Inc.)","May 4, 1954",10 (l),,,"June 29, 1954",,,"Feb. 7, 1955"
2-CC-281,"AFL-Carmen Workers, Local 46 (Gentleman, Inc.)","May 4, 1954",10 (l),,,"May 27, 1954",,,"Jan. 11, 1955"
2-CC-284,"AFL-Musicians, Local 802 (Gotham Broadcasting Corp.)","May 7, 1954",10 (l),,,,,,"Dec. 29, 1954"
2-CC-291,"CIO-Electrical Workers, Local 459 (Royal Typewriter Co.)","May 13, 1954",10 (l),,,"June 14, 1954",,,"Jan. 27, 1955"
2-CC-297,"Independent Brotherhood of Production Maintenance & Operating Employees Local 16 (Felco Pump Works, Inc.)","May 21, 1954",10 (l),,,"May 25, 1955",,,"Apr. 21, 1955"
"19-CC-60, CB-31",AFL-Carpenters et al. (Construction Trades Council and Cisco Construction Co.),"May 25, 1954",10 (l),,,"June 9, 1954","July 1, 1954",,"Apr. 21, 1955"
10-CC-50,"AFL-Teamsters, Local 832 (Goodyear Tire & Rubber Co. of Alabama)","May 25, 1954",10 (l),,,,,,"Mar. 31, 1955"
20-CA-308,Pacific Telephone & Telegraph Co. (Order of Repairmen & Toll Testers),"June 3, 1954",10 (j),,,,"Feb. 7, 1955",,
4-CC-50,"AFL-Teamsters, Local 628 (American News Co.)","July 6, 1954",10 (l),,,,,,"Nov. 3, 1954"
13-CC-37,AFL-Baltimore Building Trades Council & AFL-Hod Carriers (Industrial Engineering Co.),"June 22, 1954",10 (l),,,,,,Settled.
"2-CD-10, 96","AFL-Bricks, Structural Iron Workers, and Locals 13, 372, 489, 483 (Tiyon Corp., Merritt-Chapman and Scott Corp.)",,10 (l),,,,,,"Mar. 14, 1955"
1-CC-105,"AFL-Boilers, Local 105 (Francis Harvey & Sons)","July 7, 1954",10 (l),,,,,,Settled.
"2-CC-40, 2-CD-9","AFL-Teamsters, Local 182 (Pilot Freight Carriers, Inc.)","July 9, 1954",10 (l),,,,,"Aug. 27, 1954","Nov. 22, 1954"
