Participating unions,Total valid votes cast,Valid votes cast in elections won Total,Won Votes for unions AFL-CIO,Won Votes for unions Teamsters,Won Votes for unions Other national unions,Won Votes for unions Other local unions,Won Votes for no union,Valid votes cast in elections lost Total,Lost Votes for unions AFL-CIO,Lost Votes for unions Teamsters,Lost Votes for unions Other national unions,Lost Votes for unions Other local unions,Lost Votes for no union
A. ALL REPRESENTATION ELECTIONS — Continued,,,,,,,,,,,,,
3+ union elections,,,,,,,,,,,,,
3 (or more)-union elections (subtotal),9726,7981,3727,1809,,759,1571,1745,456,203,,155,931
Total representation elections,506772,206612,134707,22693,17345,20557,33922,88038,71615,10948,5,183,1064
B. ELECTIONS IN RC CASES,,,,,,,,,,,,,
RC 1-union affiliation,,,,,,,,,,,,,
1-union elections (RC subtotal),350211,95181,71311,18104,4056,1680,,46413,73164,3900,853,133,433
RC 2-union,,,,,,,,,,,,,
