Union composition / Affiliation matchup,Number of elections Total,Number of elections Won by AFL-CIO Percent,Number of elections Won by Teamsters Percent,Number of elections Won by Other-national Percent,Number of elections Won by Other-local Percent,Number of elections No-rep Percent,Number of employees eligible Total,Total valid votes cast,Cast for AFL-CIO,Cast for Teamsters,Cast for Other-national,Cast for Other-local,Cast for No-union
Total RC elections,7496,,,,,,562326,503331,,,,,
1-union elections — AFL-CIO,5652,,,,,,,,,,,,
1-union elections — Teamsters,1279,,,,,,,,,,,,
1-union elections — Other national unions,220,,,,,,,,,,,,
1-union elections — Other local unions,244,,,,,,,,,,,,
1-union elections — Total (sum of 4 affiliations),7395,,,,,,,,,,,,
2-union elections (multiple AFL-CIO/Teamsters/Other-national/Other-local matchups),,,,,,,,,,,,,
