Status of cases,Number of cases — Total,Number of cases — Identification of petitioner — Employer,Number of cases — Identification of petitioner — Union,Number of cases — Identification of petitioner — Courts,Number of cases — Identification of petitioner — State board
"Pending October 1, 2002",0,0,0,0,0
Received fiscal 2003,1,1,0,0,0
On docket fiscal 2003,1,1,0,0,0
Closed fiscal 2003,1,1,0,0,0
"Pending September 30, 2003",0,0,0,0,0
