Industrial Group,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Clothing and Clothing Accessories Stores,30,26,18,8,0,0,0,0,0,4,2,0,2,0,0,0
44-Retail Trade (aggregate),1100,919,669,233,11,0,2,0,4,166,116,6,44,1,0,1
Air Transportation,41,28,23,4,1,0,0,0,0,12,10,1,1,0,0,1
Truck Transportation,649,542,395,133,8,3,2,0,1,105,82,4,19,1,0,1
48-Transportation and Warehousing (aggregate),1957,1618,1118,479,12,4,2,0,3,314,258,9,47,19,2,4
Postal Service,2470,2466,1734,732,0,0,0,0,0,4,0,0,4,0,0,0
49-Transportation and Warehousing (continued),3136,3021,2136,878,5,2,0,0,0,111,87,3,21,0,2,2
Telecommunications,669,612,492,140,0,0,0,0,0,29,24,0,5,1,0,5
