Participating unions,Total elections won* / Total elec- tions won,Total elections won* / Per- cent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Teamsters,Elections won by unions / Other na- tional unions,Elections won by unions / Other local unions,Employees eligible to vote / Elec- tions in which no repre- sentative chosen,Employees eligible to vote / Total,Employees eligible to vote / AFL-CIO unions,Employees eligible to vote / Teamsters,Employees eligible to vote / Other national unions,Employees eligible to vote / Other local unions,In elections in which no representative chosen / In elections in which no repre- sentative chosen
A. All representation elections,,,,,,,,,,,,,,
AFL-CIO unions,2398,43.9,1041,1041,,,,1357,153453,55054,,,,98399
Total representation elections,4069,43.9,1788,1105,456,55,172,2281,241823,96384,64622,15054,3961,145441
