Stage of disposition,All C cases — Number,All C cases — Percent of total closed,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Total number of cases closed,29910,100.0,20987,100.0,7403,100.0,923,100.0,251,100.0,69,100.0,21,100.0,256,100.0
Before issuance of complaint,25920,86.6,17632,84.2,6892,93.1,812,88.0,245,97.6,63,91.3,16,76.1,222,86.7
"After issuance of complaint, before opening of hearing",2820,9.4,2339,11.2,339,4.6,92,9.0,,,6,8.7,4,19.0,23,9.0
"After hearing opened, before issuance of administrative law judge's decision",114,0.4,89,0.4,17,0.2,7,0.7,0,0.0,0,0.0,0,0.0,1,0.4
"After administrative law judge's decision, before issuance of Board decision",45,0.2,35,0.2,8,0.1,2,0.2,0,0.0,0,0.0,1,4.7,0,0.0
After Board order adopting administrative law judge's decision in absence of exceptions,246,0.8,210,1.0,30,0.4,4,0.4,0,0.0,1,1.6,0,0.0,1,0.4
After Board decision in contested cases,519,1.7,426,2.0,88,1.2,0,0.0,1,0.4,0,0.0,0,0.0,4,1.6
"After circuit court decree, before Supreme Court action",230,0.8,219,1.0,11,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
After Supreme Court action,9,0.0,8,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
