row_label,col_1,col_2,col_3
Representation decisions,286,Representation decisions,
After transfer by Regional Di- rectors for initial decision ... 6,After transfer by Regional Di- rectors for initial decision ... 6,After transfer by Regional Di- rectors for initial decision ... 6,
After review of Regional Di- rector decisions,64,After review of Regional Di- rector decisions,
On objections and/or chal- lenges,216,On objections and/or chal- lenges,
Clarification of bargaining unit,4,Clarification of bargaining unit,
Amendment to certification,0,Amendment to certification,
Union-deauthorization,2,Union-deauthorization,
Noncontested decisions,Noncontested decisions,561,Noncontested decisions
Unfair labor practice,276,Unfair labor practice,
Representation,284,Representation,
Other,1,Other,
