Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Washington,895,665,465,181,10,1,0,1,5,220,137,15,68,9,0,3
Oregon,547,392,276,102,8,2,0,0,4,139,97,11,31,7,0,9
California,4988,4040,2748,1083,116,47,8,3,35,889,641,75,173,19,0,31
Alaska,114,82,54,22,4,0,1,0,0,30,24,2,4,1,0,1
Hawaii,293,210,148,49,7,2,1,2,1,80,63,1,16,0,0,3
Pacific,6837,5396,3691,1437,144,52,11,3,58,1358,962,106,292,35,1,47
Puerto Rico,340,256,213,41,0,0,0,0,2,77,69,3,5,2,0,5
Virgin Islands,18,8,7,1,0,0,0,0,0,9,8,0,1,0,0,1
Outlying areas,358,264,218,44,0,0,0,0,2,87,77,3,6,2,0,6
"Total, all States and areas",41507,33833,24075,8157,965,297,46,30,262,7173,5678,327,1168,152,23,326
