row_label,Fiscal year 1980 — Number of proceedings — Total,Fiscal year 1980 — Number of proceedings — Vs employers only,Fiscal year 1980 — Number of proceedings — Vs unions only,Fiscal year 1980 — Number of proceedings — Vs both employers and unions,Fiscal year 1980 — Number of proceedings — Board dismissal,Fiscal year 1980 — Percentages — Vs employers only,Fiscal year 1980 — Percentages — Vs unions only,Fiscal year 1980 — Percentages — Vs both employers and unions,Fiscal year 1980 — Percentages — Board dismissal,"July 5, 1935 — Sept 30, 1980 — Number","July 5, 1935 — Sept 30, 1980 — Percent"
Proceedings decided by US courts of appeals,478,447,29,2,7,,,,,,
On petitions for review and/or enforcement,449,419,21,2,7,100.0,100.0,100.0,100.0,7666,100.0
Petitions review/enforcement — Board orders affirmed in full,291,272,13,2,4,64.9,61.9,100.0,57.1,4870,63.5
Petitions review/enforcement — Board orders affirmed with modification,48,46,2,0,0,11.0,9.5,0,0,1196,15.6
Petitions review/enforcement — Remanded to Board,23,21,2,0,0,5.0,9.5,0,0,344,4.5
Petitions review/enforcement — Board orders partially affirmed and partially remanded,8,7,1,0,0,1.7,4.7,0,0,99,1.3
Petitions review/enforcement — Board orders set aside,79,73,3,0,3,17.4,14.3,0,42.8,1137,14.8
On petitions for contempt,29,21,8,0,0,100.0,100.0,,,,
"Contempt — Compliance after filing of petition, before court order",1,1,0,0,0,4.8,0,,,,
Contempt — Court orders holding respondent in contempt,18,11,7,0,0,52.4,87.5,,,,
Contempt — Court orders denying contempt,1,1,0,0,0,4.8,0,,,,
Proceedings decided by US Supreme Court,3,1,1,1,0,,,,,229,100.0
