Circuit courts of appeals (headquarters),Total fiscal year 1981 / Number,Total cumulative fiscal years 1976-1980 / Number,Affirmed in full / Fiscal Year 1981 / Number,Affirmed in full / Fiscal Year 1981 / Percent,Affirmed in full / Cumulative fiscal years 1976-1980 / Number,Affirmed in full / Cumulative fiscal years 1976-1980 / Percent,Modified / Fiscal Year 1981 / Number,Modified / Fiscal Year 1981 / Percent,Modified / Cumulative fiscal years 1976-1980 / Number,Modified / Cumulative fiscal years 1976-1980 / Percent,Remanded in full / Fiscal Year 1981 / Number,Remanded in full / Fiscal Year 1981 / Percent,Remanded in full / Cumulative fiscal years 1976-1980 / Number,Remanded in full / Cumulative fiscal years 1976-1980 / Percent,Affirmed in part and remanded in part / Fiscal Year 1981 / Number,Affirmed in part and remanded in part / Fiscal Year 1981 / Percent,Affirmed in part and remanded in part / Cumulative fiscal years 1976-1980 / Number,Affirmed in part and remanded in part / Cumulative fiscal years 1976-1980 / Percent,Set aside / Fiscal Year 1981 / Number,Set aside / Fiscal Year 1981 / Percent,Set aside / Cumulative fiscal years 1976-1980 / Number,Set aside / Cumulative fiscal years 1976-1980 / Percent
Total all circuits,479,1653,306,63.9,1104,66.8,67,14.0,184,11.1,29,6.0,86,5.2,11,2.3,31,1.9,66,13.8,248,15.0
"Detail rows by circuit (1 Boston through DC, Washington); see PDF",,,,,,,,,,,,,,,,,,,,,,
