Status / Period,Number of unfair labor practice cases / Total / Total ULP,Number of unfair labor practice cases / Identification of complainant / A.F.L. affiliates (ULP),Number of unfair labor practice cases / Identification of complainant / C.I.O. affiliates (ULP),Number of unfair labor practice cases / Identification of complainant / Unaffiliated unions (ULP),Number of unfair labor practice cases / Identification of complainant / Individuals (ULP),Number of unfair labor practice cases / Identification of complainant / Employers (ULP),Number of representation cases / Total / Total Rep,Number of representation cases / Identification of petitioner / A.F.L. affiliates (Rep),Number of representation cases / Identification of petitioner / C.I.O. affiliates (Rep),Number of representation cases / Identification of petitioner / Unaffiliated unions (Rep),Number of representation cases / Identification of petitioner / Individuals (Rep),Number of representation cases / Identification of petitioner / Employers (Rep)
CA cases,,,,,,,,,,,,
"Pending July 1, 1953 (CA / RC)",2134,894,601,121,517,1,1447,928,412,106,1,
"Received July 1, 1953-June 30, 1954 (CA / RC)",4373,1859,834,245,1275,,7028,4575,1752,612,,89
"On docket July 1, 1953-June 30, 1954 (CA / RC)",6507,2753,1435,366,1792,1,8475,5503,2164,718,,88
"Closed July 1, 1953-June 30, 1954 (CA / RC)",4618,2156,1118,264,1083,,6964,4564,1837,565,,
"Pending June 30, 1954 (CA / RC)",1889,597,317,102,709,,1605,939,327,153,,
CB cases / RM cases,,,,,,,,,,,,
"Pending July 1, 1953 (CB / RM)",426,30,14,8,285,91,85,,,,,85
"Received July 1, 1953-June 30, 1954 (CB / RM)",1267,19,24,28,864,256,568,,,,,568
"On docket July 1, 1953-June 30, 1954 (CB / RM)",1693,49,38,36,1149,347,653,,,,,653
"Closed July 1, 1953-June 30, 1954 (CB / RM)",1052,32,23,22,609,250,546,,,,,546
"Pending June 30, 1954 (CB / RM)",633,17,15,14,453,102,107,,,,,107
CC cases / RD cases,,,,,,,,,,,,
"Pending July 1, 1953 (CC / RD)",60,,3,,,57,82,1,,,81,
"Received July 1, 1953-June 30, 1954 (CC / RD)",250,1,7,8,2,224,478,45,34,1,379,
"On docket July 1, 1953-June 30, 1954 (CC / RD)",310,1,10,9,2,281,560,46,34,1,460,
"Closed July 1, 1953-June 30, 1954 (CC / RD)",158,1,7,6,2,142,465,30,16,0,419,
"Pending June 30, 1954 (CC / RD)",152,,3,3,,139,95,16,18,1,,
CD cases (ULP side only — right half blank),,,,,,,,,,,,
"Pending July 1, 1953 (CD)",17,2,6,,,15,,,,,,
"Received July 1, 1953-June 30, 1954 (CD)",152,76,36,4,,67,,,,,,
"On docket July 1, 1953-June 30, 1954 (CD)",169,78,42,4,,82,,,,,,
"Closed July 1, 1953-June 30, 1954 (CD)",97,33,17,,,47,,,,,,
"Pending June 30, 1954 (CD)",72,45,25,4,,35,,,,,,
