Circuit courts of appeals (headquarters),Total fiscal year 1971,Total cumulative fiscal years 1966-70,Affirmed in full / Fiscal year 1971 / Number,Affirmed in full / Fiscal year 1971 / Percent,Affirmed in full / Cumulative fiscal years 1966-70 / Number,Affirmed in full / Cumulative fiscal years 1966-70 / Percent,Modified / Fiscal year 1971 / Number,Modified / Fiscal year 1971 / Percent,Modified / Cumulative fiscal years 1966-70 / Number,Modified / Cumulative fiscal years 1966-70 / Percent,Remanded in full / Fiscal year 1971 / Number,Remanded in full / Fiscal year 1971 / Percent,Remanded in full / Cumulative fiscal years 1966-70 / Number,Remanded in full / Cumulative fiscal years 1966-70 / Percent,Affirmed in part and remanded in part / Fiscal year 1971 / Number,Affirmed in part and remanded in part / Fiscal year 1971 / Percent,Affirmed in part and remanded in part / Cumulative fiscal years 1966-70 / Number,Affirmed in part and remanded in part / Cumulative fiscal years 1966-70 / Percent,Set aside / Fiscal year 1971 / Number,Set aside / Fiscal year 1971 / Percent,Set aside / Cumulative fiscal years 1966-70 / Number,Set aside / Cumulative fiscal years 1966-70 / Percent
Total all circuits,371,1463,275,74.1,892,61.0,46,12.4,271,18.5,15,4.0,70,4.7,1,0.3,39,2.7,34,9.2,191,13.1
"1. Boston, Mass.",10,74,6,60.0,51,68.9,2,20.0,13,17.6,,,,,,,,,2,20.0,10,13.5
"2. New York, N.Y.",38,166,32,84.2,121,72.9,4,10.5,19,11.4,,,6,3.6,,,,,2,5.3,20,12.0
"3. Philadelphia, Pa.",26,76,20,76.9,57,75.0,3,11.5,8,10.5,,,2,2.6,,,,,3,11.5,9,11.8
"4. Richmond, Va.",29,134,23,79.3,75,55.9,,,31,23.1,,,,,,,,,,,28,20.9
"5. New Orleans, La.",66,274,47,71.2,150,54.7,12,18.2,78,28.5,,,,,,,,,7,10.6,46,16.8
"6. Cincinnati, Ohio",67,227,54,80.6,143,63.0,12,17.9,26,11.4,,,,,,,,,1,1.5,26,11.5
"7. Chicago, Ill.",32,152,22,68.8,82,53.9,5,15.6,32,21.1,,,,,,,,,5,15.6,29,19.1
"8. St. Louis, Mo.",30,115,26,86.7,81,70.4,1,3.3,11,9.6,,,,,,,,,3,10.0,13,11.3
"9. San Francisco, Calif.",54,180,41,75.9,97,53.9,7,13.0,43,23.9,,,,,,,,,6,11.1,30,16.7
"10. Denver, Colo.",9,65,,,,,,,,,,,,,,,,,,,,
"DC. Washington, D.C.",10,124,,,,,,,,,,,,,,,,,,,,
