row_label,Size of unit (number of employees),Number of employees eligible to vote,Total elections,Cumulative percent of total,Won by unions — Total — Number,Won by unions — Total — Percent by class,AFL-CIO unions — Number,AFL-CIO unions — Percent by class,Teamsters — Number,Teamsters — Percent by class,Other national unions — Number,Other national unions — Percent by class,Other local unions — Number,Other local unions — Percent by class,Elections in which no representative chosen — Number,Elections in which no representative chosen — Percent by class
Total RC and RM elections,195023,3676,,942,100.0,528,100.0,391,100.0,59,100.0,98,100.0,1659,100.0,
Under 10 employees,3888,676,21.3,228,22.1,,,,,,,,,,,
