Affiliation / category,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
Total representation elections,7993,54.6,4367,2486,1234,409,233,3626,592761,299979,176910,38568,37880,292782
"AFL-CIO (single-union RC, 1-union election)",3845,52.6,2621,2021,,,,1824,277370,168952,103952,,,173418
Teamsters,1949,52.5,1023,1023,,,,926,66316,37330,22986,,,37380
Other national unions,545,52.9,294,294,,,,251,31750,20179,20015,,,31170
Other local unions,212,60.4,128,,,,,84,7971,4570,,,,3401
1-union elections (subtotal),6551,52.9,3466,2021,1023,294,128,3085,377408,231031,103952,22986,20015,245974
2-union,,,,,,,,,,,,,,
2-union elections (subtotal),714,61.5,552,289,128,89,76,132,142753,117152,55038,10494,14123,25619
3+-union,,,,,,,,,,,,,,
