Standard Federal Region,All cases,All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauth. cases / UD,Amend. cert. cases / AC,Unit clarif. cases / UC
South Carolina,335,116,101,15,0,0,,2,,17,0,0,,,14
Tennessee,791,649,556,,,,,,,63,,,,,
Region IV,4582,3820,3175,623,14,4,0,4,542,463,8,71,2,4,13
Illinois,2361,2032,1468,,,,,,,,,,,,
Indiana,1749,1295,,,,,,,,,,,,,
Michigan,2109,1723,,,,,,,,,,,,,
Minnesota,2229,1853,,,,,,,,,,,,,
Ohio,751,561,,,,,,,,,,,,,
Wisconsin,,,,,,,,,,,,,,,
Region V,9403,7722,5775,1566,171,33,4,36,1571,1256,47,268,12,31,74
Arkansas,210,177,,,,,,,30,,,,,,
Louisiana,485,405,,,,,,,,,,,,,
New Mexico,182,,,,,,,,,,,,,,
Oklahoma,,,,,,,,,,,,,,,
Texas,1162,1060,,,,,,,,,,,,,
Region VI,2271,2021,1639,373,5,2,0,1,241,187,5,49,2,9,9
Iowa,235,180,,,,,,,,,,,,,
Kansas,,,,,,,,,,,,,,,
Missouri,1144,920,,,,,,,,,,,,,
Nebraska,,,,,,,,,,,,,,,
Region VII,1753,1408,1075,299,,,,,304,,,,,,
