row_label,Participating unions,Total elections,Elections won by unions / Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Teamsters,Elections won by unions / Other national unions,Elections won by unions / Other local unions,Employees eligible to vote / Total,Employees eligible to vote / AFL-CIO unions,Employees eligible to vote / Teamsters,Employees eligible to vote / Other national unions,Employees eligible to vote / Other local unions,Employees eligible to vote / Other local unions,In elections in which no representatives chosen
Total representation elections,8638,48.1,4159,2391,1213,268,287,6479,475404,173385,104983,31748,14206,22466,362019
B. Elections in RC cases,,,,,,,,,,,,,,,
1-union elections (Total),7311,47.9,3533,2108,1071,221,191,3878,380362,133635,80705,22027,10832,10561,157241
2-union elections (Total),505,71.3,360,179,73,30,8,145,49916,20889,10881,6294,1608,10336,
Total RC elections,7836,49.8,3904,2328,1144,252,272,3830,435171,155784,93470,28732,12484,21509,279387
"Detail rows (AFL-CIO v. AFL-CIO, Teamsters v. various, 3+ union elections, etc.)",,,,,,,,,,,,,,,
