row_label,Fiscal year 1973 / Number of proceedings / Total,Fiscal year 1973 / Number of proceedings / Vs. employers only,Fiscal year 1973 / Number of proceedings / Vs. unions only,Fiscal year 1973 / Number of proceedings / Vs. both employers and unions,Fiscal year 1973 / Number of proceedings / Board dismissal,Fiscal year 1973 / Percentages / Vs. employers only,Fiscal year 1973 / Percentages / Vs. unions only,Fiscal year 1973 / Percentages / Vs. both employers and unions,Fiscal year 1973 / Percentages / Board dismissal,"July 5, 1935 – June 30, 1973 / Number","July 5, 1935 – June 30, 1973 / Percent"
Proceedings decided by U.S. courts of appeals,388,307,53,1,5,,,,,,
On petitions for review and/or enforcement,350,292,52,1,5,100.0,100.0,100.0,100.0,5399,100.0
Board orders affirmed in full,252,206,44,0,2,70.5,84.6,,40.0,3314,61.4
Board orders affirmed with modification,37,34,3,0,0,11.6,5.7,,,957,17.7
Remanded to Board,17,12,4,1,0,4.1,7.7,100.0,60.0,233,4.3
Board orders partially affirmed and partially remanded,2,3,0,0,0,0.6,,,,77,1.4
Board orders set aside,42,37,4,0,1,12.7,7.7,,100.0,818,15.2
On petitions for contempt,18,15,3,0,0,100.0,100.0,,,,
"Compliance after filing of petition, before court order",13,11,2,0,0,73.3,66.7,,,,
Court orders holding respondent in contempt,4,3,1,0,0,26.7,33.3,,,,
Court orders denying petition,1,1,0,0,0,,,,,,
Proceedings decided by U.S. Supreme Court,6,4,2,0,0,100.0,100.0,,,,
Board orders affirmed in full (SCOTUS),3,1,2,0,0,25.0,100.0,,,,
Remanded to Board (SCOTUS),3,3,0,0,0,75.0,,,,,
