Circuit courts of appeals (headquarters),Total fiscal year 1983,Total fiscal years 1978-1982,Affirmed in full — Fiscal Year 1983 — Number,Affirmed in full — Fiscal Year 1983 — Percent,Affirmed in full — Cumulative fiscal years 1978-1982 — Number,Affirmed in full — Cumulative fiscal years 1978-1982 — Percent,Modified — Fiscal Year 1983 — Number,Modified — Fiscal Year 1983 — Percent,Modified — Cumulative 1978-1982 — Number,Modified — Cumulative 1978-1982 — Percent,Remanded in full — Fiscal Year 1983 — Number,Remanded in full — Fiscal Year 1983 — Percent,Remanded in full — Cumulative 1978-1982 — Number,Remanded in full — Cumulative 1978-1982 — Percent,Affirmed in part and remanded in part — Fiscal Year 1983 — Number,Affirmed in part and remanded in part — Fiscal Year 1983 — Percent,Affirmed in part and remanded in part — Cumulative 1978-1982 — Number,Affirmed in part and remanded in part — Cumulative 1978-1982 — Percent,Set aside — Fiscal Year 1983 — Number,Set aside — Fiscal Year 1983 — Percent,Set aside — Cumulative 1978-1982 — Number,Set aside — Cumulative 1978-1982 — Percent
Total all circuits,338,2046,227,60.1,1321,64.6,27,8.0,248,12.1,20,5.9,119,5.8,12,3.6,52,2.5,42,12.4,307,15.0
"1. Boston, Mass (First Circuit)",13,78,8,60.6,44,56.4,,,12,15.4,1,7.7,5,6.4,,,1,1.3,4,30.8,16,20.5
