row_label,Participating unions,Total valid votes cast,Valid votes cast in elections won / Total,Valid votes cast in elections won / AFL-CIO affiliates,Valid votes cast in elections won / Teamsters,Valid votes cast in elections won / Other national unions,Valid votes cast in elections won / Unaffiliated national unions,Valid votes cast in elections won / Local unaffiliated unions,Valid votes cast in elections won / Total for no union,Valid votes cast in elections lost / Total,Valid votes cast in elections lost / AFL-CIO affiliates,Valid votes cast in elections lost / Teamsters,Valid votes cast in elections lost / Other national unions,Valid votes cast in elections lost / Unaffiliated national unions,Valid votes cast in elections lost / Local unaffiliated unions,Valid votes cast in elections lost / Total for no union
Total RM elections,17612,5609,3898,701,1028,,,492,2130,3145,1156,321,1473,198,,6277
1-union elections (subtotal),15734,4074,2791,606,473,204,,1847,3135,1147,319,1471,,,,6678
1-union: AFL-CIO,7977,2791,2791,,,,,,1098,1147,1147,,,,,3941
1-union: Teamsters,2473,606,,606,,,,,265,319,,319,,,,1283
1-union: Other national unions,4466,473,,,473,,,,200,1471,,,1471,,,1205
1-union: Local unaffiliated unions,718,204,,,,,,204,284,,,,,,,230
2-union elections (subtotal),1878,1535,397,95,555,,,288,283,11,9,2,2,,,49
2-union,,,,,,,,,,,,,,,,
