Case No.,Union and company,Date petition for injunction filed,Type of petition,Temporary restraining order — Date issued,Temporary restraining order — Date lifted,Date temporary injunction granted,Date denied,Date injunction proceedings withdrawn or dismissed,Date injunction issued after Board order
17-CC-2,17-CC-2,"Building and Construction Trades Council of Kansas City, et al. (Ralph J. Sanders Construction Co.)","July 3, 1948",10 (l),"July 9, 1948","Nov. 6, 1948",,"Nov. 6, 1948",
5-CB-14,5-CB-14,United Mine Workers and Lewis (Jones & Laughlin Steel Corp. et al.),"July 8, 1948",10 (j),,,,,"July 15, 1948"
3-CC-09,3-CC-09,International Alliance Theatrical Stage Employees (American Broadcasting Co. Inc.),"Aug. 9, 1948",10 (l),"Aug. 9, 1948","Jun 21, 1949",,,
10-CC-11,10-CC-11,"Electrical Workers, Local 1925, AFL (Rouse Anderson Co.)","Aug. 17, 1948",10 (l),,,"Sept. 1, 1948",,"May 11, 1949"
35-CC-2,35-CC-2,"Building Trades Workers, CIO (Ryan Construction Corp.)","Aug. 18, 1948",10 (l),,,"Aug. 27, 1948",,
22-CC-44,22-CC-44,"Mine, Mill and Smelter Workers, Local 701, CIO (Sterling Die Casting Co., Inc.)","Aug. 23, 1948",10 (l),,,,,"Apr. 1, 1949"
22-CC-46,22-CC-46,"Oil Workers, Local 366, CIO (Tyne Oil Co.)","Aug. 30, 1948",10 (l),,,,,
30-CC-4,30-CC-4,Denver Building and Construction Trades Council et al. (Grauman Co.),"Aug. 30, 1948",10 (l),,,,,
2-CC-42,2-CC-42,"Department Store Employees Union, Local 1250 (Oppenheim Collins & Co.)","Sept. 8, 1948",10 (l),,,"Sept. 14, 1948",,"June 1, 1949"
6-CC-17,6-CC-17,Building and Construction Trades Council of Pittsburgh and Vicinity et al. (Petredis & Frye),"Sept. 18, 1948",10 (l),,,"Sept. 30, 1948",,
2-CC-46,2-CC-46,"Teamsters, Local 807, AFL (Schultz Refrigerator Service, Inc.)","Sept. 24, 1948",10 (l),,,,"Oct. 14, 1948",
13-CC-5,13-CC-5,"Painters, Chicago District Council 27, AFL et al. (Joliet Contractors Association et al.)","Sept. 28, 1948",10 (l),,,"Nov. 19, 1948",,
"3-CC-50, 51","3-CC-50, 51","Teamsters, Local 138, AFL, et al. (Phelan, Inc.)","Oct. 5, 1948",10 (l),,,,,"Dec. 10, 1948"
"2-CC-64, 65, 66","2-CC-64, 65, 66","Service Trade Chauffeurs, Salesmen, Warehousemen and Helpers, Local 145, et al. (Howland Dry Goods Co. et al.)","Oct. 8, 1948",10 (l),,,,,
20-CC-30,20-CC-30,"Teamsters, Local 87, AFL, et al. (Watsonville Apple Distributors)","Oct. 12, 1948",10 (l),,,"Oct. 27, 1948",,"Feb. 7, 1949"
"15-CC-10, 11, 12, 14, 15","15-CC-10, 11, 12, 14, 15","Pacific Coast Marine Firemen, etc., and Marine Cooks, CIO, et al. (Todd Johnson Dry Docks, Inc.)","Oct. 14, 1948",10 (l),,,"Oct. 27, 1948",,
10-CC-15,10-CC-15,"Gadsden Building Trades Council, AFL, et al. (Gadsden Heating & Sheet Metal Co.)","Oct. 27, 1948",10 (l),,,,"Jan. 7, 1949","June 7, 1949"
