row_label,All R elections — Total elections,All R elections — Withdrawn or dismissed,All R elections — Rerun or runoff,All R elections — Resulting in certification,RC elections — Total elections,RC elections — Withdrawn or dismissed,RC elections — Rerun or runoff,RC elections — Resulting in certification,RM elections — Total elections,RM elections — Withdrawn or dismissed,RM elections — Rerun or runoff,RM elections — Resulting in certification,RD elections — Total elections,RD elections — Withdrawn or dismissed,RD elections — Rerun or runoff,RD elections — Resulting in certification
Stipulated elections,6236,17,128,6093,5478,15,115,5348,170,1,0,169,590,1,7,582
Rerun required (Stipulated),,,97,,,,86,,,,0,,,,5,
Runoff required (Stipulated),,,31,,,,29,,,,0,,,,1,
Regional director-directed,1449,6,45,1396,1304,6,43,1255,29,0,0,29,114,0,2,112
Rerun required (Director-directed),,,37,,,,35,,,,0,,,,2,
Runoff required (Director-directed),,,8,,,,8,,,,0,,,,0,
Board-directed,47,0,3,44,43,0,3,40,3,0,0,3,1,0,0,1
Rerun required (Board-directed),,,2,,,,2,,,,0,,,,0,
Runoff required (Board-directed),,,1,,,,1,,,,0,,,,0,
Expedited—see 8(b)(7)(C),27,0,0,27,2,0,0,2,25,0,0,25,0,0,0,0
