row_label,Participating unions,Total elections,Elections won by unions / Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Teamsters,Elections won by unions / Other national unions,Elections won by unions / Other local unions,Employees eligible to vote / Total,Employees eligible to vote / AFL-CIO unions,Employees eligible to vote / Teamsters,Employees eligible to vote / Other national unions,Employees eligible to vote / Other local unions,Employees eligible to vote / Other local unions,In elections in which no representatives chosen
1-union elections (Total),572,23.4,134,81,34,4,15,438,22338,8770,5743,1200,1681,155,14559
2-union elections (Total),39,82.1,32,14,10,5,,,3088,4344,1865,1551,,528,744
Total RD elections,611,27.2,166,95,47,9,15,445,26426,13123,7608,3151,1681,683,15303
"Detail rows (AFL-CIO, Teamsters, Other national unions, Other local unions, AFL-CIO v. AFL-CIO, etc.)",,,,,,,,,,,,,,,
