Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case — CA,Formal actions taken by type of case — CB,Formal actions taken by type of case — CC,Formal actions taken by type of case — CD — Jurisdictional disputes,Formal actions taken by type of case — CD — Unfair labor practices,Formal actions taken by type of case — CE,Formal actions taken by type of case — CG,Formal actions taken by type of case — CP,Formal actions taken by type of case — CA combined with CB,Formal actions taken by type of case — C combined with representation cases,Formal actions taken by type of case — Other C combinations
10(k) notices of hearings issued,81,71,,,,71,,,,,,,
Complaints issued,6388,5413,4496,424,182,,,14,19,5,45,112,80
Backpay specifications issued,11,9,0,0,,,,,,,,,
"Hearings completed, total",1640,1209,970,94,23,29,,2,7,1,7,38,37
Initial ULP hearings,1593,1179,943,93,23,29,,2,7,1,7,37,36
Backpay hearings,39,23,21,0,0,0,,0,0,0,0,1,1
Other hearings,8,7,6,1,0,0,,0,0,0,0,0,0
"Decisions by administrative law judges, total",1784,1189,949,98,21,,,2,4,1,6,29,78
Initial ULP decisions,1762,1169,932,91,21,,,2,4,1,6,29,77
Backpay decisions,22,20,17,2,0,,,0,0,0,0,0,1
Supplemental decisions,0,0,0,0,0,,,0,0,0,0,0,0
"Decisions and orders by the Board, total",2120,1696,1338,124,65,39,,6,9,1,16,27,31
Upon consent of parties,240,173,107,21,33,0,,0,0,0,4,1,7
Adopting administrative law judges' decisions (no exceptions filed),390,334,279,27,6,,,1,2,0,4,3,10
Initial ULP decisions (Contested),1388,1101,881,72,25,39,,3,4,1,7,19,13
