Formal action taken,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA cases,Unfair labor practice cases / Other C cases,Representation cases
Complaints issued,2101,2101,1283,818,4264
Notices of hearing issued,4315,51,,51,
Cases heard,3698,1158,779,379,2540
Intermediate reports issued,762,762,539,223,
"Decisions issued, total",2883,764,423,341,2119
Decisions and orders,531,531,320,211,
Decisions and consent orders,233,233,103,130,
Elections directed,1726,,,,1726
Rulings on objections and/or challenges in stipulated election cases,173,,,,173
Dismissals on record,220,,,,220
