row_label,Total / Total number of situations,Total / Percent of all situations,Total / Cumulative percent of all situations,Type of situations / CA / Number of situations,Type of situations / CA / Percent by size class,Type of situations / CB / Number of situations,Type of situations / CB / Percent by size class,Type of situations / CC / Number of situations,Type of situations / CC / Percent by size class,Type of situations / CD / Number of situations,Type of situations / CD / Percent by size class,Type of situations / CE / Number of situations,Type of situations / CE / Percent by size class,Type of situations / CG / Number of situations,Type of situations / CG / Percent by size class,Type of situations / CP / Number of situations,Type of situations / CP / Percent by size class,Type of situations / CA-CB combinations / Number of situations,Type of situations / CA-CB combinations / Percent by size class,Type of situations / Other C combinations / Number of situations,Type of situations / Other C combinations / Percent by size class
"4,000-4,999",119,0.4,97.9,65,0.3,49,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.7,0,
"5,000-9,999",363,1.2,99.1,181,0.9,146,2.1,8,0.8,0,0.0,3,1.2,0,0.0,0,0.0,24,3.3,1,2.0
"Over 9,999",275,0.9,100.0,153,0.8,104,1.5,2,0.2,0,0.0,0,0.0,0,0.0,0,0.0,14,1.9,2,
