Industrial group,All cases,Unfair labor practice cases / CA,Unfair labor practice cases / AII C,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Representation cases / AII R,Representation cases / RC,Representation cases / RM,Representation cases / RD,Amendment of certification cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Food and kindred products,1923,1542,332,4,2,0,0,0,264,212,5,47,1,0,10
Textile mill products,266,151,47,,,,,,,,,,,,5
Construction,95,97,62,,,,,,,,,,,,
All cases (grand total),11791,9701,2053,68,19,7,6,66,1467,1112,37,318,5,15,68
Other industries (catch-all),,,,,,,,,,,,,,,
