Union affiliation,Elections in which a representative was redesignated / Employees eligible to vote,Elections in which a representative was redesignated / Total valid votes cast,Elections in which a representative was redesignated / Percent casting valid votes,Elections in which a representative was redesignated / Votes cast for winning union,Elections in which a representative was redesignated / Votes cast for no union,Elections resulting in decertification / Employees eligible to vote,Elections resulting in decertification / Total valid votes cast,Elections resulting in decertification / Percent casting valid votes,Elections resulting in decertification / Votes cast for losing union,Elections resulting in decertification / Votes cast for no union
Total,7757,6962,89.8,5271,1691,10607,9642,90.9,3763,5879
AFL-CIO,5247,4776,91.0,3319,1457,9651,8751,90.7,3552,5199
Unaffiliated,2510,2185,87.1,1952,234,956,891,93.2,211,680
