Section,Total Proceedings,"Injunction proceedings / Pending in district court July 1, 1965",Injunction proceedings / Filed in district court fiscal year 1966,Injunction proceedings / Total dispositions,Disposition of Injunctions / Granted,Disposition of Injunctions / Denied,Disposition of Injunctions / Settled,Disposition of Injunctions / Withdrawn,Disposition of Injunctions / Dismissed,Disposition of Injunctions / Inactive,"Pending in District court June 30, 1966"
"Under sec. 10(e), total",2,0,2,2,0,0,0,0,0,0,0
"Under sec. 10(j), total",18,1,17,13,9,1,0,3,0,0,5
Sec. 10(j) subsection breakdown,,,,,,,,,,,
"Under sec. 10(l), total",185,12,173,169,74,4,62,7,1,21,16
Sec. 10(l) subsection breakdown,,,,,,,,,,,
