row_label,Industrial group,Total elections,Total won,AFL-CIO unions,Teamsters,Other national unions,Other local unions,No representative chosen,Number of employees eligible to vote,Total valid votes cast,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total votes for no union,Eligible employees in units choosing representation
Ordnance and accessories,14,,,,,,,2332,2384,1182,,,,,,1102,
Food and kindred products,341,292,108,125,11,8,249,,,,,,,,,13459,4929
Tobacco manufactures,12,,,,,,,,,,,,,,,,
