row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Heanngs completed, total",853,838,770,16,52,8
Initial hearings,695,683,628,15,40,8
Hearings on objections and/or challenges,158,155,142,1,12,0
"Decisions issued, total",726,717,657,19,41,7
By Regional Director,666,659,603,18,38,7
Elections directed,603,596,551,13,32,7
Dismissals on record,63,63,52,5,6,o
By Board,60,58,54,1,3,o
Transferred by Regional Directors for initial decision,2,2,2,o,o,o
Elections directed,I,I,i,o,o,o
Dismissals on record,1,1,1,o,o,o
Review of Regional Directors' decisions Requests for review received,473,427,367,16,44,4
Withdrawn before request ruled upon,47,46,40,3,3,o
"Board action on request ruled upon, total",389,349,306,10,33,2
Granted,74,73,68,o,5,o
Denied,303,266,229,9,28,2
Remanded,12,10,9,1,o,o
"Withdrawn after request granted, before Board review",3,3,3,0,o,o
"Board decision aftdreview, total",58,56,52,1,3,o
Regional Directors' decisions,,,,,,
Affirmed,39,38,35,0,3,o
Modified,4,4,- 3,1,o,o
Reversed,15,14,14,0,o,o
Outcome,,,,,,
Election directed,53,51,48,1,2,0
Dismissals on record,5,5,4,o,I,o
