row_label,col_1,col_2
CHAPTER,CHAPTER,Page
VI. Enforcement,Litigation-Continued,
2,Union Unfair Labor Practices,127
,a Discrimination Under Section 8 (b) (2),128
,(1) The Legality of Union-Security Provisions Designed To Insure Prompt Payment of Membership Dues,129
,b Strikes and Picketing Outlawed by Section 8 (b) (4),130
,"(1) The Meaning of ""Employer"" and ""Employee"" in Section 8 (b) (4)",130
,"(2) The Meaning of ""Induce or Encourage"" in Section 8 (b) (4)",131
,"(3) ""Hot Cargo"" Agreements as a Defense in Secondary Boy- cott Cases",132
,3. Remedial Orders,132
,a Refund of Permit Fees Charged by a Union in Administering an Illegal Closed-Shop Agreement,133
,b. Liability of an Employer Association for Back Pay,133
,"c: Computation of Back Pay as Affected by Discharged Em- ployees' Failure To ""Lower Their Sights"" in Searching for Interim Employment",134
4,Determination of Jurisdictional Disputes,135
5,Representation Questions,136
,a. Election Procedures,136
,b The Contract-Bar Rule,137
,c. Unit Determinations,138
,"(1) The ""Extent of Organization"" Factor-Section 9 (c) (5)",138
,(2) Professional Units-Section 9 (b) (1),139
,(3) Severance of Craft Units,139
,d. Survival of Certification Where Either the Union or the Em- ployer Is Reorganized,140
VII.,Injunction Litigation,142
A.,Injunctions Under Section 10 (j),143
,Injunctions Under Section 10 (1),144
B,1. Secondary Boycott Situations,144
,"a ""Ally"" Defense",147
,"b. ""Mootness"" Defense",147
,"c. ""Hot Cargo"" Defense",148
,2 Injunctions Against Strikes m Disregard of Board Certifica- tions,149
,3 Jurisdictional Dispute Situations,151
VIII.,Contempt Proceedings,152
,,154
IX.,Miscellaneous Litigation,
,1 Subpena Enforcement 2 Petitions To Review Application of Jurisdictional Standards_ _ _,154 155
,3 Petitions for Judicial Interventl on in Representation Proceed- ings,155
,4 Stay of Representation Proceedings During Reorganization Under Bankruptcy Act,158
Appendix,A. Statistical Tables for Fiscal Year 1957,161
