row_label,col_1
15-0-1069,"Sturges Co., The."
24-0-119 20-0-1450,"Sunland Biscuit Co., Inc. Sunnyside Winery & Lawrence Warehouse Co."
14-0-1125,"Texas Co., The."
5-0-2123,Thomas Bros. Wholesale Produce.
10-0-2017,Thurmoid Mfg. Co.
2-0-6701,Tidewater Associated Oil Co.
15-0-1230,"Times-Picayune Publishing Co., The."
15-0-1002,Tishomingo Country Electric Power Association.
8-0-2000,Toledo Desk & Fixture Co.
5-0-1847,"Tower Hosiery Mills, Inc."
15-0-1240,"Trelles, M., & Co."
,Tr-Country Electric Cooperative.
18-0-1319 11-0-1295,Troy Relining Corp.
16-0-1365,Tulsa Broadcasting Co.
,Tygart Sportswear Co.
6-C-1015,
14-0-1271,Ullin Box & Lumber Co.
10-0-1785,Union Mfg. Co.
2-0-6228,Union Products Co.
8-0-1998,Union Screw Products Co.
2-C-6412,"Unique Ventilation Co., Inc."
1-0-2864,United Elastic Corp.
10-0-1935,United States Rubber Co.
2-0-5760,Universal Camera Corp.
13-0-2733 14-0-1102,Victor Manufacturing & Gasket Co. Victory Fluorspar Mining Co.
13-0-2731,"Vogue Wright Studios, Inc."
5-C-2047 14-0-1118,"Wadesboro Full-Fashioned Hosiery Mills, Inc. Wagner Electric Corp."
9-0-2217,"Wallace Corp., The."
17-C-1273,Western Oil Tool Co.
1-0-2849,Westinghouse Electric Corp.
8-0-1883,"Westinghouse Electric & Mfg. Co., The."
8-0-1892,West Ohio Gas Co.
8-0-2031,"White Motor Co., The."
3-0-939,"Wilson Athletic Goods Mfg., Co."
15-0-1194,Wilson & Co.
8-0-1872,"Contracting Co., Inc."
,Wingert Brass Co.
8-0-1880,Wooster Worcester Woolen Mills Corp.
1-0-2871 1-0-2874,Worthington Pump & Machinery Corp.
,Iron Range Co.
14-0-1197,Wrought
,"Knitting Mills, Inc."
20-0-1628,Young Patrol Service.
5-0-2217,Wytheville
21-R-3564 18-R-3679 13-R-8016,"Acme Brewing Co. Adams & Westlake Co., The. Admiral Corp."
,Glove Mfg. Co.
10-E-2153,Advance
7-R-2370,Advance Mfg. Co.
10-R-2034,Alabama Marble Co.
15-R-2084,Alabama Textile Products Hammock Co.
13-R-8867,"Corp. Algoma Allied Chemical & Dye Corp.,"
3-R-1281,National Aniline Allis-Chalmers Mfg. Co.
9-R-2189,Steel Welded Truck Co.
18-R-1640 9-R-2446,All Amere Gas Utilities Co.
10-R-1996,
,"Agricultural Chemical Corp.,"
,The.
,American
