Type of case,Total elections,Type of election / Consent,Type of election / Stipulated,Type of election / Board ordered,Type of election / Regional director directed
"All elections, total",4832,2421,1048,1350,13
"Eligible voters, total",522529,169988,154608,197592,281
"Valid votes, total",459554,148059,138031,173211,253
"RC cases, total",4445,2250,969,1226,
Eligible voters,494620,160666,146029,187925,
Valid votes,434736,139881,129966,164889,
"RM cases, total",218,110,54,54,
Eligible voters,16810,6415,5948,4447,
Valid votes,14937,5500,5545,3892,
"RD cases, total",150,58,23,69,
Eligible voters,10244,2829,2218,5197,
Valid votes,9089,2603,2078,4408,
"UD cases, total",19,3,2,1,13
Eligible voters,855,78,473,23,281
Valid votes,792,75,442,22,253
