row_label,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligible employees in continuing representation units
Mountain (regional total),178,79,72,3,4,99,12002,10570,4835,4297,239,299,5735,4645
Pacific (regional total),543,254,229,4,21,289,31143,26022,12960,10546,376,1038,13117,13961
Puerto Rico,61,40,9,0,31,21,8454,8069,4560,172,,4388,,
Virgin Islands,5,1,1,,,4,,,,,,,,
Outlying Areas (total),66,41,10,0,31,25,,,,,,,,
"Total, all States and areas",3277,1469,1288,51,130,1808,219073,190338,90816,78181,3237,9398,99522,82947
