row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
Other national unions.........................,8,50.0,4,,4,,4,101,48,,48,,53
1-union elections...........................,14,42.9,6,2,4,0,8,373,204,156,48,0,169
AFL-CIO v. National.........................,2,50.0,1,0,1,,1,104,77,0,77,,27
2-union elections...........................,2,50.0,1,0,1,0,1,104,77,0,77,0,27
Total RMelections........................,16,43.8,7,2,5,0,9,477,281,156,125,0,196
D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases
Other national unions,139,41.7,58,,58,,81,8581,5266,,5266,,3315
AFL-CIO............................................,113,38.9,44,44,,,69,6519,2920,2920,,,3599
Other local unions...............................,9,11.1,1,,,1,8,890,72,,,72,818
1-union elections...........................,261,39.5,103,44,58,1,158,15990,8258,2920,5266,72,7732
National v. Local................................,1,100.0,1,,1,0,0,187,187,,187,0,0
National v. National............................,4,100.0,4,,4,,0,119,119,,119,,0
Local v. Local.....................................,1,100.0,1,,,1,0,40,40,,,40,0
AFL-CIO v. AFL-CIO......................,1,0.0,0,0,,,1,19,0,0,,,19
AFL-CIO v. National.........................,2,100.0,2,1,1,,0,178,178,156,22,,0
2-union elections...........................,9,88.9,8,1,6,1,1,543,524,156,328,40,19
Total RD elections.........................,270,41.1,111,45,64,2,159,16533,8782,3076,5594,112,7751
