row_label,col_1,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
"Pending July 1, 1976",RC cases,3795,2231,948,185,405,26,
Received 19TQ,RC cases,2955,1663,930,144,200,18,
On docket 19TQ,RC cases,6750,3894,1878,329,605,44,
Closed 19TQ,RC cases,2886,1632,871,136,232,15,
"Pending Sept. 30, 1976",RC cases,3864,2262,1007,193,373,29,
"Pending July 1, 1976",RM cases,291,,,,,,291
Received 19TQ,RM cases,261,,,,,,261
On docket 19TQ,RM cases,552,,,,,,552
Closed 19TQ,RM cases,219,,,,,,219
"Pending Sept. 30, 1976",RM cases,333,,,,,,333
"Pending July 1, 1976",RD cases,390,1,2,0,2,385,
Received 19TQ,RD cases,412,2,2,0,2,406,
On docket 19TQ,RD cases,802,3,4,0,4,791,
Closed 19TQ,RD cases,361,2,4,3,0,358,
"Pending Sept. 30, 1976",RD cases,441,2,1,0,4,435,
