Section / Subsection,Total proceedings,"Injunction proceedings — Pending in court Oct. 01, 2003",Injunction proceedings — Filed in court fiscal year 2004,Total dispositions,Disposition of injunctions — Granted,Disposition of injunctions — Denied,Disposition of injunctions — Settled,Disposition of injunctions — Withdrawn,Disposition of injunctions — Pending
Under Sec. 10(e) total (Appellate court enforcement injunctions),3,,3,3,3,0,0,0,0
Under Sec. 10(j) total (District court ULP injunctions — discretionary),13,2,11,12,9,0,2,1,1
  8(a)(1),0,0,1,1,1,0,0,0,0
  8(a)(1)(2)(3)(5),0,0,2,2,2,0,0,0,0
  8(a)(1)(3)(5),0,2,8,10,7,0,2,1,0
"  8(a)(1)(2)(3)(5), 8(b)(1)(A), 8(b)(2)",0,0,1,1,1,0,0,0,0
Under Sec. 10(l) total (Mandatory secondary-boycott / picketing injunctions),7,1,6,7,3,2,3,0,0
  8(b)(4)(A),0,0,2,2,0,1,2,0,0
  8(b)(4)(B),0,1,3,4,2,1,1,0,0
  8(b)(7)(C),0,0,1,1,1,0,0,0,0
