Division and State,All cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Representation cases / RC,Representation cases / RM,Representation cases / RD
New England,972,283,44,7,6,583,18,29
Maine,58,12,2,0,0,37,3,3
New Hampshire,30,10,1,0,0,28,0,2
Vermont,26,9,0,1,0,8,0,1
Massachusetts,595,155,28,4,6,301,9,12
Rhode Island,101,35,5,1,0,70,1,4
Connecticut,203,70,7,1,0,139,5,5
Middle Atlantic,3398,923,290,60,27,1936,140,62
New York,1904,522,175,26,11,1044,78,28
New Jersey,632,192,61,21,8,243,28,8
Pennsylvania,862,220,54,13,2,499,34,20
East North Central,3474,864,174,35,18,2158,95,120
Ohio,879,228,29,8,5,527,16,26
Indiana,324,125,40,8,5,214,16,15
Illinois,901,239,60,16,3,532,19,18
Michigan,969,173,24,1,2,410,24,35
Wisconsin,400,89,12,2,3,255,20,26
West North Central,1420,269,20,12,13,1002,29,34
Minnesota,148,34,2,2,5,94,3,8
Iowa,233,32,5,1,2,170,12,11
Missouri,713,148,9,5,5,484,5,11
North Dakota,66,9,0,1,0,55,1,0
South Dakota,55,11,1,0,0,37,3,3
Nebraska,60,19,3,2,0,36,0,0
Kansas,145,36,0,1,1,98,5,1
South Atlantic,1283,466,45,13,4,699,26,32
Delaware,25,6,0,0,0,20,0,0
Maryland,166,49,12,4,0,83,3,5
District of Columbia,82,23,3,0,1,53,1,2
Virginia,144,56,5,2,2,72,3,4
West Virginia,130,30,11,2,0,78,2,7
North Carolina,228,133,2,2,0,85,0,6
South Carolina,68,25,0,0,0,40,1,2
Georgia,222,62,10,2,0,124,12,2
Florida,220,65,2,1,1,144,4,3
East South Central,755,294,32,7,1,443,29,19
Kentucky,193,30,8,2,0,132,14,7
Tennessee,257,71,6,2,0,152,14,7
Alabama,215,50,15,1,0,117,1,4
Mississippi,90,33,2,2,1,49,0,1
West South Central,1188,345,40,6,4,724,37,31
Arkansas,156,56,3,1,0,98,4,1
Louisiana,259,70,12,3,2,124,14,7
Oklahoma,381,57,1,2,1,298,8,5
Texas,392,162,20,0,1,194,11,18
Mountain,730,173,27,11,4,472,23,20
Montana,48,13,3,1,0,26,1,4
Idaho,67,19,2,5,0,37,0,4
Wyoming,29,4,2,0,0,23,0,0
Colorado,226,50,6,0,1,157,7,5
New Mexico,140,19,8,5,0,109,1,2
Arizona,144,13,5,0,2,115,5,4
Utah,55,12,1,0,1,20,12,4
Nevada,17,3,0,0,0,10,1,3
Pacific,2160,580,140,31,13,1278,70,48
Washington,322,91,22,5,1,184,10,9
Oregon,295,82,14,6,0,176,8,9
California,1543,407,104,20,9,920,53,30
Outlying areas,413,189,42,10,4,257,5,6
Alaska,84,44,12,1,0,26,1,0
Puerto Rico,,,,,,,,
