Industrial group 1,Number of elections / Total,Number of elections / In which representation rights were won by AFL-CIO affiliates,Number of elections / In which representation rights were won by Unaffiliated unions,Number of elections / In which no representative was chosen,Eligible voters,Valid votes cast
Total,5428,2302,1108,2018,430023,385794
Manufacturing,3477,1604,588,1285,329925,300253
Ordnance and accessories,4,4,0,0,3553,3530
Food and kindred products,623,254,172,197,58584,46174
Tobacco manufactures,4,3,0,1,488,466
Textile mill products,72,22,18,32,12624,11766
Apparel and other finished products made from fabrics and similar materials,67,21,7,35,9918,8901
Additional manufacturing SIC,,,,,,
"Agriculture, forestry, and fisheries",4,0,1,3,162,100
Mining,44,21,9,14,4090,3764
Construction,132,83,14,15,8547,5518
Wholesale trade,511,125,192,194,20395,17560
Retail trade,606,236,106,264,25095,22271
"Finance, insurance, and real estate",21,9,2,10,1328,1200
"Transportation, communication, and other public utilities",487,166,157,174,29622,25816
Services,166,58,39,69,10753,9202
Additional transportation/utilities,,,,,,
