Method and stage of disposition,All C cases / Number,All C cases / Percent of total closed,All C cases / Percent of total method closed,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CG cases / Number,CG cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
By circuit court of appeals decree,12,0.0,0.1,5,0.0,7,0.0,0,,0,,0,,0,,0,
By Supreme Court action,0,,,0,,0,,0,,0,,0,,0,,0,
10(k) actions (see Table 7A for details of dispositions),177,0.5,,0,,0,,0,,177,95.1,0,,0,,0,
Otherwise (compliance with order of administrative law judge or Board not achieved—firm went out of business),132,0.4,,125,0.5,6,0.0,0,,1,0.5,0,,0,,0,
