row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October 1, 1999....................","*1,384",1279,45,59,1,
Received fiscal 2000..........................,4579,4176,174,225,4,
On docket fiscal 2000........................,5963,5455,219,284,5,
Closed fiscal 2000..............................,4520,4152,174,192,2,
"Pending September 30, 2000..............",1443,1303,45,92,3,
,RMCases,RMCases,RMCases,RMCases,RMCases,RMCases
"Pending October 1, 1999....................",61,,,,,61
Received fiscal 2000..........................,177,,,,,177
On docket fiscal 2000........................,238,,,,,238
Closed fiscal 2000..............................,139,,,,,139
"Pending September 30, 2000..............",99,,,,,99
,RD Cases,RD Cases,RD Cases,RD Cases,RD Cases,RD Cases
"Pending October 1, 1999....................",256,3,0,0,253,
Received fiscal 2000..........................,915,6,2,1,906,
On docket fiscal 2000........................,1171,9,2,1,1159,
Closed fiscal 2000..............................,783,2,1,1,779,
"Pending September 30, 2000..............",388,7,1,0,380,
